,NAME,B02001_001E,B02001_002E,state,county,tract,white_ratio,quantile_category,tractid
731,"Census Tract 9501, Nantucket County, Massachusetts",1279,1113,25,019,950100,0.8702111024237685,3,25019950100
732,"Census Tract 9502, Nantucket County, Massachusetts",5301,4057,25,019,950200,0.7653272967364648,2,25019950200
733,"Census Tract 3525, Middlesex County, Massachusetts",2828,2013,25,017,352500,0.7118104667609618,2,25017352500
734,"Census Tract 3527, Middlesex County, Massachusetts",2204,1431,25,017,352700,0.6492740471869328,1,25017352700
735,"Census Tract 3534, Middlesex County, Massachusetts",2977,1537,25,017,353400,0.5162915686933154,1,25017353400
736,"Census Tract 3566.01, Middlesex County, Massachusetts",4484,3563,25,017,356601,0.7946030330062445,2,25017356601
737,"Census Tract 3571, Middlesex County, Massachusetts",4307,3192,25,017,357100,0.7411191084281402,2,25017357100
738,"Census Tract 3577, Middlesex County, Massachusetts",3886,2947,25,017,357700,0.7583633556356151,2,25017357700
739,"Census Tract 3734, Middlesex County, Massachusetts",3345,2645,25,017,373400,0.7907324364723468,2,25017373400
740,"Census Tract 3681.01, Middlesex County, Massachusetts",6428,4639,25,017,368101,0.7216863721219664,2,25017368101
741,"Census Tract 3684, Middlesex County, Massachusetts",8549,5692,25,017,368400,0.6658088665340975,1,25017368400
742,"Census Tract 3691, Middlesex County, Massachusetts",5075,4654,25,017,369100,0.9170443349753694,3,25017369100
743,"Census Tract 3832, Middlesex County, Massachusetts",6340,3377,25,017,383200,0.5326498422712934,1,25017383200
744,"Census Tract 3871, Middlesex County, Massachusetts",4183,3965,25,017,387100,0.9478842935692087,4,25017387100
745,"Census Tract 3543, Middlesex County, Massachusetts",3214,2073,25,017,354300,0.6449906658369633,1,25017354300
746,"Census Tract 3547, Middlesex County, Massachusetts",2777,2192,25,017,354700,0.7893410154843357,2,25017354700
747,"Census Tract 3548, Middlesex County, Massachusetts",2167,1770,25,017,354800,0.8167974157821873,2,25017354800
748,"Census Tract 3581, Middlesex County, Massachusetts",5492,4075,25,017,358100,0.7419883466860888,2,25017358100
749,"Census Tract 3585, Middlesex County, Massachusetts",5238,3369,25,017,358500,0.643184421534937,1,25017358500
750,"Census Tract 3690, Middlesex County, Massachusetts",1677,1373,25,017,369000,0.8187239117471675,2,25017369000
751,"Census Tract 3701.02, Middlesex County, Massachusetts",7938,6297,25,017,370102,0.7932728647014361,2,25017370102
752,"Census Tract 3545, Middlesex County, Massachusetts",2268,1982,25,017,354500,0.8738977072310405,3,25017354500
753,"Census Tract 3324, Middlesex County, Massachusetts",3794,3130,25,017,332400,0.8249868212967844,2,25017332400
754,"Census Tract 3391, Middlesex County, Massachusetts",6504,5768,25,017,339100,0.8868388683886839,3,25017339100
755,"Census Tract 3115, Middlesex County, Massachusetts",3205,1571,25,017,311500,0.4901716068642746,1,25017311500
756,"Census Tract 3212, Middlesex County, Massachusetts",6614,5035,25,017,321200,0.7612639854853341,2,25017321200
757,"Census Tract 3372.02, Middlesex County, Massachusetts",4743,4657,25,017,337202,0.9818680160236137,4,25017337202
758,"Census Tract 3222, Middlesex County, Massachusetts",3854,3608,25,017,322200,0.9361702127659575,4,25017322200
759,"Census Tract 3118, Middlesex County, Massachusetts",3349,1302,25,017,311800,0.3887727679904449,1,25017311800
760,"Census Tract 3184, Middlesex County, Massachusetts",4113,3332,25,017,318400,0.8101142718210552,2,25017318400
761,"Census Tract 3686, Middlesex County, Massachusetts",5572,4175,25,017,368600,0.7492821249102656,2,25017368600
762,"Census Tract 3834, Middlesex County, Massachusetts",6340,4853,25,017,383400,0.7654574132492113,2,25017383400
763,"Census Tract 3506, Middlesex County, Massachusetts",4532,3708,25,017,350600,0.8181818181818182,2,25017350600
764,"Census Tract 3544, Middlesex County, Massachusetts",1801,1464,25,017,354400,0.8128817323709051,2,25017354400
765,"Census Tract 5062.03, Plymouth County, Massachusetts",5205,5034,25,023,506203,0.9671469740634006,4,25023506203
766,"Census Tract 5082, Plymouth County, Massachusetts",6374,5976,25,023,508200,0.9375588327580797,4,25023508200
767,"Census Tract 5101, Plymouth County, Massachusetts",4824,2903,25,023,510100,0.6017827529021559,1,25023510100
768,"Census Tract 6332, Bristol County, Massachusetts",6299,5966,25,005,633200,0.9471344657882204,4,25005633200
769,"Census Tract 6402, Bristol County, Massachusetts",5695,4642,25,005,640200,0.8151009657594381,2,25005640200
770,"Census Tract 8124.03, Hampden County, Massachusetts",3786,3389,25,013,812403,0.8951399894347596,3,25013812403
