PLACEKEY,VISITOR_HOME_AGGREGATION,DATE_RANGE_START,DISTANCE_FROM_HOME,date_xh,VISIT_BY_DAY_list,population,income,poverty_ratio,female_ratio,white_ratio,black_ratio,asian_ratio,walk_work,transit_work,drive_work,date_xh,SPEND_BY_DAY_x,SPEND_PER_TRANSACTION_BY_DAY_x
223-222@62j-sz8-gtv,"{""25017356300"":4,""25017339100"":4}",2022-05-30 00:00:00.000,3260.0,2022-06-01,0,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-01,0.0,0.0
223-222@62j-sz8-gtv,"{""25017356300"":4,""25017339100"":4}",2022-05-30 00:00:00.000,3260.0,2022-06-02,1,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-02,22.45,22.45
223-222@62j-sz8-gtv,"{""25017356300"":4,""25017339100"":4}",2022-05-30 00:00:00.000,3260.0,2022-06-03,1,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-03,0.0,0.0
223-222@62j-sz8-gtv,"{""25017356300"":4,""25017339100"":4}",2022-05-30 00:00:00.000,3260.0,2022-06-04,2,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-04,0.0,0.0
223-222@62j-sz8-gtv,"{""25017356300"":4,""25017339100"":4}",2022-05-30 00:00:00.000,3260.0,2022-06-05,1,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-05,0.0,0.0
224-222@62j-sz8-h5z,,2022-05-30 00:00:00.000,1562.0,2022-06-01,0,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-01,0.0,0.0
224-222@62j-sz8-h5z,,2022-05-30 00:00:00.000,1562.0,2022-06-02,0,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-02,0.0,0.0
224-222@62j-sz8-h5z,,2022-05-30 00:00:00.000,1562.0,2022-06-03,1,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-03,0.0,0.0
224-222@62j-sz8-h5z,,2022-05-30 00:00:00.000,1562.0,2022-06-04,0,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-04,0.0,0.0
224-222@62j-sz8-h5z,,2022-05-30 00:00:00.000,1562.0,2022-06-05,0,6504,40.07,0.0742659758203799,0.5390528905289053,0.8868388683886839,0.0304428044280442,0.031980319803198,0.028395061728395,0.1256172839506172,0.6632716049382716,2022-06-05,0.0,0.0
